id,lat,lng,label,population,risk
2,-12.5,18.5,"Angola",19581800,0.000403855105194088
6,24,54,"United Arab Emirates",2999980,0.011809971580328673
7,-34,-64,"Argentina",42932500,0.0006612685720737186
8,40,45,"Armenia",3702690,0.00011415381414132305
11,-27,133,"Australia",21732300,0.03533756697959823
12,47.3333,13.3333,"Austria",7827060,0.0015491602032266453
13,40.5,47.5,"Azerbaijan",8566580,0.00028022551400367696
15,50.8333,4,"Belgium",10603200,0.0014593392093092627
19,24,90,"Bangladesh",178849000,0.0020431872260036573
20,43,25,"Bulgaria",6943240,0.0001976342146908593
21,26,50.55,"Bahrain",793049,0.0003161164650009576
25,53,28,"Belarus",9094500,0.00030568141967015207
29,-10,-55,"Brazil",192873000,0.0011468727193533629
31,4.5,114.6667,"Brunei",391353,0.000928508752302342
33,-22,24,"Botswana",1396280,0.0001263904313071108
35,60,-95,"Canada",34768800,0.015081920901861211
37,47,8,"Switzerland",6840400,0.0027057192176099085
38,-30,-71,"Chile",17362900,0.0005203018078862971
40,8,-5,"Côte d'Ivoire",8963970,0.00020327287649853055
41,6,12,"Cameroon",15874600,0.00021932320585255343
42,0,25,"Congo, Dem. Rep.",61964700,0.0004266437576878619
45,4,-72,"Colombia",52023800,0.00017393308317591231
48,10,-84,"Costa Rica",5237750,0.0001105506831057224
49,21.5,-80,"Cuba",11635300,0.00013228646352796142
54,35,33,"Cyprus",510494,0.0002035536373305278
55,49.75,15.5,"Czech Republic",10258300,0.0012750412857506345
56,51,9,"Germany",80723100,0.011917457318392869
59,56,10,"Denmark",5453080,0.0016792941670426297
61,28,3,"Algeria",36845400,0.0011780608653485967
62,-2,-77.5,"Ecuador",15984400,0.00017727885643269747
63,27,30,"Egypt, Arab Rep.",84142700,0.002407220661169232
65,40,-4,"Spain",38879100,0.005734924945761167
67,8,38,"Ethiopia",86208600,0.0010950717941493279
68,64,26,"Finland",5141740,0.0016641563124983245
69,-18,175,"Fiji",921227,0.0004603119998136193
71,46,2,"France",61740500,0.008770167094972182
74,-1,11.75,"Gabon",1051230,0.00010867892737992279
75,54,-2,"United Kingdom",60534100,0.018243880986145856
76,42,43.5,"Georgia",4882290,0.00036859588080889207
78,8,-2,"Ghana",26353000,0.00035986881194616027
80,11,-10,"Guinea",7341350,0.0002585833121025278
84,2,10,"Equatorial Guinea",682354,0.00010285308747279879
85,39,22,"Greece",10580100,0.0009512038136406635
90,13.4667,144.7833,"Guam",208888,0.0004977705426515205
93,45.1667,15.5,"Croatia",4172760,0.00016918351418205056
95,47,20,"Hungary",9213370,0.000857311787659321
96,-5,120,"Indonesia",248801000,0.03027876758170243
98,20,77,"India",1193560000,0.011281738373696183
99,53,-8,"Ireland",4434210,0.0009322054829163057
100,32,53,"Iran",86577600,0.0016944319963182052
101,33,44,"Iraq",31538300,0.00043473911257287264
102,65,-18,"Iceland",298989,0.0003326347206520665
103,31.5,34.75,"Israel",8578420,0.002392971903650191
104,42.8333,12.8333,"Italy",55070800,0.009219786674830345
107,31,36,"Jordan",7349510,0.0005098901740315822
108,36,138,"Japan",127496000,0.13342863825600487
109,48,68,"Kazakhstan",13362900,0.0013806084072337716
110,1,38,"Kenya",39470700,0.0007183337860406982
111,41,75,"Kyrgyzstan",5599470,0.0006069408120160752
112,13,105,"Cambodia",18075800,0.025812473182336346
115,37,127.5,"Korea, Rep.",50538900,0.10941515800337294
117,29.3375,47.6581,"Kuwait",2753150,0.00044966636911872456
118,18,105,"Lao PDR",7434390,0.004185834913790966
